,filename,fold,target,category,esc10,src_file,take,y
0,1-100038-A-14.wav,1,14,chirping_birds,False,100038,A,0
1,1-119125-A-45.wav,1,45,train,False,119125,A,9
2,1-13571-A-46.wav,1,46,church_bells,False,13571,A,6
3,1-13572-A-46.wav,1,46,church_bells,False,13572,A,6
4,1-137296-A-16.wav,1,16,wind,False,137296,A,4
5,1-17124-A-43.wav,1,43,car_horn,False,17124,A,5
6,1-17367-A-10.wav,1,10,rain,True,17367,A,2
7,1-18527-A-44.wav,1,44,engine,False,18527,A,7
8,1-18527-B-44.wav,1,44,engine,False,18527,B,7
9,1-19026-A-43.wav,1,43,car_horn,False,19026,A,5
10,1-21189-A-10.wav,1,10,rain,True,21189,A,2
11,1-21421-A-46.wav,1,46,church_bells,False,21421,A,6
12,1-22804-A-46.wav,1,46,church_bells,False,22804,A,6
13,1-22882-A-44.wav,1,44,engine,False,22882,A,7
14,1-24074-A-43.wav,1,43,car_horn,False,24074,A,5
15,1-24076-A-43.wav,1,43,car_horn,False,24076,A,5
16,1-254507-A-43.wav,1,43,car_horn,False,254507,A,5
17,1-26176-A-43.wav,1,43,car_horn,False,26176,A,5
18,1-26177-A-43.wav,1,43,car_horn,False,26177,A,5
19,1-26222-A-10.wav,1,10,rain,True,26222,A,2
20,1-28135-A-11.wav,1,11,sea_waves,True,28135,A,3
21,1-28135-B-11.wav,1,11,sea_waves,True,28135,B,3
22,1-28808-A-43.wav,1,43,car_horn,False,28808,A,5
23,1-29532-A-16.wav,1,16,wind,False,29532,A,4
24,1-29561-A-10.wav,1,10,rain,True,29561,A,2
25,1-31482-A-42.wav,1,42,siren,False,31482,A,8
26,1-31482-B-42.wav,1,42,siren,False,31482,B,8
27,1-34495-A-14.wav,1,14,chirping_birds,False,34495,A,0
28,1-34497-A-14.wav,1,14,chirping_birds,False,34497,A,0
29,1-38559-A-14.wav,1,14,chirping_birds,False,38559,A,0
30,1-38560-A-14.wav,1,14,chirping_birds,False,38560,A,0
31,1-39901-A-11.wav,1,11,sea_waves,True,39901,A,3
32,1-39901-B-11.wav,1,11,sea_waves,True,39901,B,3
33,1-40154-A-46.wav,1,46,church_bells,False,40154,A,6
34,1-43760-A-11.wav,1,11,sea_waves,True,43760,A,3
35,1-46040-A-14.wav,1,14,chirping_birds,False,46040,A,0
36,1-47709-A-16.wav,1,16,wind,False,47709,A,4
37,1-47714-A-16.wav,1,16,wind,False,47714,A,4
38,1-48298-A-46.wav,1,46,church_bells,False,48298,A,6
39,1-50060-A-10.wav,1,10,rain,True,50060,A,2
40,1-50454-A-44.wav,1,44,engine,False,50454,A,7
41,1-50455-A-44.wav,1,44,engine,False,50455,A,7
42,1-50661-A-44.wav,1,44,engine,False,50661,A,7
43,1-51035-A-16.wav,1,16,wind,False,51035,A,4
44,1-51036-A-16.wav,1,16,wind,False,51036,A,4
45,1-51037-A-16.wav,1,16,wind,False,51037,A,4
46,1-54065-A-45.wav,1,45,train,False,54065,A,9
47,1-54065-B-45.wav,1,45,train,False,54065,B,9
48,1-54084-A-42.wav,1,42,siren,False,54084,A,8
49,1-54747-A-46.wav,1,46,church_bells,False,54747,A,6
50,1-54918-A-14.wav,1,14,chirping_birds,False,54918,A,0
51,1-54918-B-14.wav,1,14,chirping_birds,False,54918,B,0
52,1-54958-A-10.wav,1,10,rain,True,54958,A,2
53,1-56311-A-10.wav,1,10,rain,True,56311,A,2
54,1-56907-A-46.wav,1,46,church_bells,False,56907,A,6
55,1-57316-A-13.wav,1,13,crickets,False,57316,A,1
56,1-57318-A-13.wav,1,13,crickets,False,57318,A,1
57,1-59102-A-13.wav,1,13,crickets,False,59102,A,1
58,1-61252-A-11.wav,1,11,sea_waves,True,61252,A,3
59,1-61261-A-44.wav,1,44,engine,False,61261,A,7
60,1-62509-A-45.wav,1,45,train,False,62509,A,9
61,1-62565-A-44.wav,1,44,engine,False,62565,A,7
62,1-63871-A-10.wav,1,10,rain,True,63871,A,2
63,1-64473-A-45.wav,1,45,train,False,64473,A,9
64,1-65483-A-13.wav,1,13,crickets,False,65483,A,1
65,1-69760-A-16.wav,1,16,wind,False,69760,A,4
66,1-70300-A-45.wav,1,45,train,False,70300,A,9
67,1-7456-A-13.wav,1,13,crickets,False,7456,A,1
68,1-76831-A-42.wav,1,42,siren,False,76831,A,8
69,1-76831-B-42.wav,1,42,siren,False,76831,B,8
70,1-76831-C-42.wav,1,42,siren,False,76831,C,8
71,1-76831-D-42.wav,1,42,siren,False,76831,D,8
72,1-76831-E-42.wav,1,42,siren,False,76831,E,8
73,1-80840-A-13.wav,1,13,crickets,False,80840,A,1
74,1-80841-A-13.wav,1,13,crickets,False,80841,A,1
75,1-88409-A-45.wav,1,45,train,False,88409,A,9
76,1-88409-B-45.wav,1,45,train,False,88409,B,9
77,1-91359-A-11.wav,1,11,sea_waves,True,91359,A,3
78,1-91359-B-11.wav,1,11,sea_waves,True,91359,B,3
79,1-9841-A-13.wav,1,13,crickets,False,9841,A,1
80,2-100648-A-43.wav,2,43,car_horn,False,100648,A,5
